country,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,,,,,,1.44,7.05,12.3,13.8,15.8,18.1,18.5,18.9,,,18.6,18.5,18.2,,,,
Afghanistan,,,,,,,0.00081,0.00086,0.00189,0.00184,0.0018,0.00352,0.00514,,0.00481,0.00465,0.00449,0.0205,0.0249,0.0253,0.043,0.0517
Angola,,,,,,,,,0.037,0.056,0.0735,0.0666,0.0642,0.0653,0.0817,0.0857,0.326,0.551,0.294,0.325,0.356,0.374
Albania,,,,,,,,0.00881,,0.33,2.13,3.09,3.58,4.38,5.49,6.29,7.18,8.4,9.23,10.5,12.6,15.1
Andorra,,,,,1.64,4.92,8.24,13.1,18,22.4,24.7,27.2,29,30.8,32.6,34.3,36.3,39.3,42,44.5,46.3,47.1
United Arab Emirates,,0.0124,0.063,0.254,0.478,0.817,1.38,2.82,4.54,6.16,7.86,8.72,9.2,9.69,10.4,11.3,11.8,13.3,13.9,29.1,31.4,31.2
Argentina,,,,0.252,0.393,0.68,1.41,2.38,4.03,6.55,7.77,8.67,9.85,11.1,12.3,14.8,15.3,15.9,16.7,17.9,19.1,19.6
Armenia,,,,0.0002,0.00026,0.00033,0.0333,0.0668,,0.133,0.475,1.38,3.25,5.58,7.35,8.39,9.37,9.79,10.2,10.7,11.8,13
Antigua and Barbuda,,,,,,,2.07,7.12,1.86,2.7,5.84,18.5,8.09,6.72,14.5,17.1,11.6,10.7,9.8,9.43,,
Australia,,,,0.64,1.33,2.63,5.09,9.99,19,,24.9,24,24.9,24.6,25,25.7,27.7,28.5,30.4,32.2,33.8,34.7
Austria,,0.632,2.36,3.96,5.54,7.35,10.6,14.2,17.3,19.5,20.7,22.4,24.4,24.8,25.1,26.1,27.4,28.3,28.8,28.5,28.4,28.1
Azerbaijan,,,,,0.0121,,,0.0256,0.0458,0.167,0.68,1.12,5.26,10.6,14.8,18.2,20,19.7,18.5,18.3,19,19.3
Burundi,,,,,,,,,,,0.00197,0.00191,0.00406,0.00555,0.00759,0.0161,0.0173,0.0273,0.0309,0.0362,0.0352,0.0338
Belgium,0.107,0.224,1.4,4.46,7.87,11.9,15.5,19.1,23.1,25.5,27.7,29,30.8,32.2,33.3,34.3,35.7,36.5,37.6,38.3,39.2,39.8
Benin,,,,,0.00029,0.00028,0.00105,0.00246,0.0182,0.0084,0.0969,0.213,0.294,0.397,0.429,0.425,0.442,0.693,0.205,0.256,0.235,0.212
Burkina Faso,,,,,0.00041,0.00115,0.00118,0.00286,0.0124,0.0472,0.0699,0.0789,0.0878,0.0874,0.0865,0.0759,0.0307,0.0517,0.0664,0.0644,0.07,0.0591
Bangladesh,,,,,,,,,,0.0306,0.0347,0.217,0.281,0.314,0.398,0.999,2,3.13,4.17,4.57,4.99,4.96
Bulgaria,,,,,,,0.0859,2.15,5.04,8.3,11.2,13.4,15.1,17,18.2,19.5,20.4,22.4,23.7,25.3,27,28.8
Bahrain,,,,0.169,0.677,1.25,1.8,2.41,4.03,6.59,8.4,11.8,12.5,22.8,22.7,22.8,21.5,18.4,16.3,13,8.05,8.59
Bahamas,,,,1.37,2.45,3.49,4.01,4.12,5.01,6.08,7.42,9.04,6.96,4.31,21.4,19.7,20.8,21.7,22.5,22.8,21.1,21.1
Bosnia and Herzegovina,,,0.00072,0.00181,0.00567,0.0399,0.176,0.364,1.06,2.25,5.02,7.82,10.5,11.8,13,14.6,15.6,18.5,19.6,20.9,21.6,22.6
Belarus,,,,,0.00021,0.00127,0.0078,0.0164,0.12,1.79,5.06,11.6,17.7,22.3,26.9,29.6,28.5,30.8,32.5,33.5,33.9,34
Belize,,,,,,0.349,1.02,1.77,2.49,2.5,2.62,2.65,2.76,2.94,2.95,2.86,2.8,4.82,4.99,5.06,6.44,7.58
